Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 25,20262501,Jagga Smith,140dea3,Carlton,Carl,images/afl_logos/Carl-40.png,2.5,6.7,6,4.6,19.9,11.54,7.6,7.8,9.8,5.6,124,98,73,12,17,29,75.9,269,321,1,5,2,13,0,15,13,5,4,12,3,2,0,0,65,10,9,0,0,0,3,2,1,12.7,0.3,0,7,3
2026,Round 25,20262501,Jacob Weitering,2daea8,Carlton,Carl,images/afl_logos/Carl-40.png,2,3.8,5.9,5.8,17.5,8.69,0,17.7,11.7,0.5,116,93,90,12,6,18,88.9,170,233,1,1,2,4,0,8,4,8,4,1,10,12,3,6,0,0,0,0,0,0,0,0,0,0,0,0,5,4
2026,Round 25,20262501,Ben Ainsworth,2dbf72,Carlton,Carl,images/afl_logos/Carl-40.png,5.2,1.7,6.7,3.2,16.7,7.05,0.6,13.3,5.1,8.4,106,100,85,14,7,21,81,367,241,4,2,0,3,0,6,4,5,4,6,1,8,0,0,0,1,1,0,0,0,5,3,1,18.5,0.5,1,9,1
2026,Round 25,20262501,Harvey Langford,140dec2,Melbourne,Melb,images/afl_logos/Melb-40.png,7,6.3,1.7,0.9,15.9,9.1,1.6,12.6,9.1,5,90,88,78,9,12,21,76.2,273,150,2,4,3,13,0,10,5,7,5,3,7,6,1,2,0,3,2,0,0,0,3,1,0,5.3,0.7,0,4,1
2026,Round 25,20262501,Max Gawn,22f360,Melbourne,Melb,images/afl_logos/Melb-40.png,4.7,2.1,5.9,1.9,14.6,16.89,8.9,1.5,4.5,3.1,119,97,92,12,6,18,72.2,239,259,3,1,0,5,0,7,2,0,0,7,0,3,0,0,95,6,6,66,31,12,1,1,0,5.2,0.8,1,5,2
2026,Round 25,20262501,Sam Walsh,140870e,Carlton,Carl,images/afl_logos/Carl-40.png,3.7,6.6,1.5,2.6,14.5,12.57,6.2,3.9,9.9,0.5,125,125,80,17,22,39,71.8,389,420,5,6,3,17,0,17,12,9,6,14,7,6,0,0,70,7,7,0,0,0,0,0,0,0,0,0,8,2
2026,Round 25,20262501,Harry Dean,140f07c,Carlton,Carl,images/afl_logos/Carl-40.png,5.2,2.9,3.4,2.8,14.4,6.74,0,14,9.8,-0.6,99,75,85,11,9,20,80,134,186,0,3,0,4,0,10,5,10,5,4,11,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2026,Round 25,20262501,Nick Haynes,2305e1,Carlton,Carl,images/afl_logos/Carl-40.png,4.3,2.7,3.3,2.3,12.6,8.4,0,9.9,2.7,2.9,102,90,76,10,9,19,94.7,349,304,2,1,2,3,1,2,1,2,1,5,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2026,Round 25,20262501,Kade Chandler,1408412,Melbourne,Melb,images/afl_logos/Melb-40.png,2.9,1.1,7.5,1,12.5,10.85,3.5,4.5,8.9,-0.3,76,53,82,10,6,16,62.5,287,179,4,3,2,18,0,13,8,7,7,1,4,1,0,0,0,6,4,0,0,0,2,0,1,3.7,-2.7,0,4,2
2026,Round 25,20262501,Jack Steele,23098d,Melbourne,Melb,images/afl_logos/Melb-40.png,3.8,4.6,1.1,3.1,12.5,11.5,1.7,5.5,4.9,2.3,90,92,74,8,15,23,73.9,308,359,1,4,7,25,0,8,8,7,7,9,4,4,0,0,60,1,0,0,0,0,1,0,1,2.9,-1.9,0,5,3
